,title,media,date,desc
67,"Duratex tem lucro recorde de R$ 301,6 mi no 4º tri; dados de tráfego da Azul, investidores monitoram Petrobras e mais",InfoMoney,10/10/2021,"SÃO PAULO – Os investidores seguem acompanhando o noticiário sobre  Petrobras em meio ao cenário mais nebuloso sobre a política de preços da  companhia,..."
68,"Gás de cozinha fica mais caro pela quarta vez, a partir desta ...",Tribuna de Jundiaí,10/10/2021,"A Petrobras anunciou que, a partir desta sexta-feira (2), o gás de cozinha  (GLP), vai aumentar de preço novamente. Em média, o valor vai crescer R$  0,15."
69,"Brasil irá na contramão do mundo se reduzir imposto sobre diesel, alertam ambientalistas",BBC,10/10/2021,"Segundo a Petrobras, na gasolina, o ICMS responde por 29% do preço final e  o PIS/Cofins e a Cide (Contribuição de Intervenção no Domínio Econômico),  por outros..."
70,Preço de venda de refinaria pela Petrobras fica abaixo do esperado e já reflete receio de ingerência,InfoMoney,11/11/2021,"Se a Petrobras vende combustível a um valor inferior ao do mercado  internacional, obriga seus concorrentes a fazer o mesmo e pode levá-los a  perder dinheiro com..."
71,"MPF denuncia Dirceu, Renato Duque e mais 13 por fraudes ...",Poder360,11/11/2021,"O MPF (Ministério Público Federal) denunciou nessa 2ª feira (8.fev.2021) o  ex-ministro da Casa Civil José Dirceu (PT), o ex-diretor de serviços da  Petrobras..."
72,"José Dirceu, Renato Duque e mais 13 são denunciados por desvios na Petrobras",CNN Brasil,11/11/2021,"O MPF (Ministério Público Federal) denunciou nesta semana o ex-ministro da  Casa Civil, José Dirceu, o ex-diretor de serviços da Petrobras, Renato  Duque,..."
73,MPF denuncia José Dirceu e mais 14 por corrupção na Petrobras,O Globo,11/11/2021,"A Petrobras concluiu que as duas empresas fecharam 167 contratos com a  Petrobrás entre outubro de 2004 e setembro de 2015, no total de R$ 6,8  bilhões - e que..."
74,Petrobras completa venda de 50% da BSBios por R$ 322 ...,BiodieselBR.com,11/11/2021,"Esse segundo negócio tornou a Petrobras dona de metade do grupo fabricante  de biodiesel. A BSBios é proprietária de duas usinas de biodiesel, no Rio  Grande do..."
75,Preço de refinaria pode cair se Petrobrás sofrer interferência do governo,Economia & Negócios,11/11/2021,RIO - O receio de interferência do governo nos preços dos combustíveis da  Petrobrás pode levar investidores a pagar menos pelas refinarias postas à  venda...
76,O Assunto #387: Combustíveis - quem é quem nessa briga,G1,11/11/2021,"Desde o início do ano, a Petrobras já reajustou duas vezes o preço do  diesel e três o da gasolina. Os caminhoneiros estão insatisfeitos."
77,"Petrobras terceirizará produção em suas plataformas, afirma ...",Monitor do Mercado,11/11/2021,"A venda das refinarias da Petrobras tem sido um dos focos da companhia  durante o governo de Jair Bolsonaro. Em abril de 2020, a estratégia de  criar subsidiárias..."
78,"Ex-presidente que confiscou poupanças, Collor dá conselhos ...",Brasil de Fato,11/11/2021,A justificativa da Petrobras para o novo reajuste é a de sempre: alta do  dólar e do preço do petróleo no mercado internacional. “Os preços  praticados pela...
79,Reajuste da Petrobrás: saiba onde é vendida gasolina mais cara do Brasil,Estado de Minas,11/11/2021,"Reajuste da Petrobrás: saiba onde é vendida gasolina mais cara do Brasil.  Por causa da alta internacional do petróleo, estatal anunciou nesta semana  aumento nos..."
80,Petrobras (PETR4) Esclarece Processo de Venda da RLAM,The Capital Advisor,12/12/2021,"A Petrobras (PETR4) informou nesta quinta-feira (11), através de comunicado  ao mercado, que as datas de assinatura dos contratos de compra e venda e da  sua..."
81,"Morre criminalista René Dotti, advogado da Petrobras na ...",Poder360,12/12/2021,"Atuava na Lava Jato como assistente de acusação pela Petrobras. Em  Curitiba, Dotti era professor titular de Direito Penal da Universidade  Federal do Paraná."
82,Preço do botijão de gás sobe e chega a R$ 90 em São Paulo,jornal Agora,12/12/2021,"A Petrobras anunciou, na última segunda-feira (8), reajuste de 5,05% no GLP  (Gás Liquefeito de Petróleo) vendido em suas refinarias. A alta corresponde  a R$..."
83,Gasolina e diesel sofrem 5 reajustes apenas em 2021 e devem aumentar mais; entenda,Jovem Pan,12/12/2021,"Essa especulação fez o valor do petróleo brent — usado como referência para  a Petrobras —, pular de US$ 23 o barril em março de 2020, no auge da crise  gerada..."
84,CBO planeja retomar projeto de IPO e vê boas perspectivas com serviços offshore,Forbes Brasil,12/12/2021,"Do início do ano passado até agora, a CBO conquistou 16 novos contratos,  incluindo um de logística integrada com a Petrobras, que prevê a gestão e..."
85,Pedro Serra: Qual o futuro do mercado de óleo e gás no Brasil?,Money Times,12/12/2021,"Nesta semana, a Petrobras (PETR3;PETR4) esteve no centro das atenções  devido a sua política de preços. Comentários e notícias sobre se a empresa  modificou..."
86,FUP: Petroleiros da Bahia entram em greve após o carnaval,ISTOÉ DINHEIRO,12/12/2021,"A FUP se opõe ao programa de venda de ativos da Petrobras e reivindica a  apuração de possíveis irregularidades na definição do valor negociado com o  Mubadala,..."
87,"Construtora portuguesa Mota-Engil fecha contratos de 97 milhões de euros no Brasil, nas áreas de engenharia, construção e petróleo",CPG Click Petroleo e Gas,12/12/2021,"Mota-Engil assinou contratos com a mineradora Vale e com a Petrobras para  serviços de manutenção na REDUC no RJ, entre outros projetos no Brasil."
88,"Jornalistas tiveram participação decisiva na ""lava jato""",Consultor Jurídico,12/12/2021,"O texto foi suprimido no mesmo dia. Nestor Cerveró, ex-diretor da  Petrobras. Prado sugeria ao procurador prisão de pessoas, fornecia  mensagens (e-mails)..."
89,Falta pouco para Bolsonaro sancionar ou recusar novo fundo para o agro,Money Times,12/12/2021,Últimas Notícias Cotações Comprar ou Vender FGTS Eletrobras Petrobras ·  Instagram · YouTube · Linkedin Facebook · Google Facebook Twitter.
90,Preço do gás de cozinha sufoca o orçamento,Estado de Minas,14/14/2021,"O preço do gás de cozinha (GLP) foi reajustado em 5,05% nas refinarias das  Petrobras na última terça-feira e o aumento já chegou às revendas do  produto em..."
91,Baker Hughes vai abrir planta de monitoramento remoto em Campinas,Valor Econômico,15/15/2021,"Companhia fechou um contrato para prestar serviços para a Petrobras, com  duração de três anos. Por Gabriela Ruddy, Valor — Rio. 14/02/2021 12h12  Atualizado..."
92,Conheça 37 postos de Goiânia que ainda vendem gasolina ...,Diário de Goiás,15/15/2021,"Após anúncio da Petrobras, de terceira alta do preço da gasolina em 2021 e  segunda do diesel, é possível encontrar a gasolina comum, em alguns postos  de..."
93,Investigados na Lava-Jato ampliam espaço e ganham influência com Bolsonaro,O Globo,15/15/2021,"É réu em duas ações penais no STF. Uma delas o acusa de integrar uma  organização criminosa montada no partido PP para sangrar os cofres da  Petrobras, o “..."
94,"Hacker diz que era fã da Lava Jato: ""mas me senti enganado""",UOL Notícias,15/15/2021,... da força-tarefa da Operação Lava Jato disse que era um admirador da  investigação que apurava esquemas de corrupção envolvendo políticos e a  Petrobras.
95,"'O Bem-Amado', primeira novela a cores do Brasil, chega ao streaming",Folha,15/15/2021,"Em seu canal no YouTube, a Orquestra Petrobras Sinfônica celebra o carnaval  com obras de um dos mais famosos sambistas cariocas. ... Rio Open DOC. Com  a edição..."
96,Petrobras considera abusiva greve contra venda da Refinaria Landulpho Alves,O POVO,16/16/2021,A Petrobras considera abusiva a greve anunciada pela Federação Única dos  Petroleiros (Fup) para a próxima quinta-feira (18) na Refinaria Landulpho  Alves...
97,"Altas recentes da gasolina não têm relação com ICMS, destaca Pacobahyba",Diario do Nordeste,16/16/2021,"Legenda: A Petrobras havia anunciado o reajuste justamente na última quinta  (18). Nesta sexta (19), o preço da gasolina no posto Planalto passou de R$  5,23 para..."
98,Municípios já dão auxílio emergencial em ao menos 14 estados,Exame,16/16/2021,"Petrobras gasta R$ 1,3 milhão cada vez que governo troca seu presidente.  Petrobras recebe documentos e já analisa nome de Paes de Andrade. Economia."
99,Barroso diz que Direito Penal é terrivelmente seletivo no Brasil,Consultor Jurídico,16/16/2021,Preciso lembrar um gerente da Petrobras devolveu R$ 180 milhões que havia  sido desviado da empresa. Vi um ex-deputado de correndo com uma mala na rua  de R$...
100,Refinaria da Petrobras no Paraná registrou princípio de ...,Dinheiro Rural,17/17/2021,"A Refinaria Presidente Getúlio Vargas (Repar), unidade da Petrobras  localizada em Araucária (PR), registrou um princípio de incêndio na  madrugada do último..."
101,Petróleo tem preço mais alto em 13 meses; Petrobras perde ...,Monitor do Mercado,17/17/2021,"Os preços do petróleo subiram cerca de 5% na semana passada, o que fez a  cabeça dos investidores da Petrobras girar, uma vez que as ações da estatal  não..."
102,É possível a política reduzir o preço dos combustíveis? Deputados e especialistas comentam,Diario do Nordeste,17/17/2021,"De acordo com a Petrobras, essa fatia representa cerca de 45% do preço  final para o consumidor. O ICMS é o principal tributo cobrado pelos estados."
